Name,Priority,Soft Modules (categories),Status,➰ Actions (CRUD),👤 Actors
I must be able to select vulnerability type for a routine,,"Routine management (Soft%20Modules%20(categories)/Routine%20management%202b3c5dcbed45805899b2eee42b8b719f.html), Routine Management Generic Details (Soft%20Modules%20(categories)/Routine%20Management%20Generic%20Details%202b7c5dcbed4580e6a68ef411675ee6ed.html)",Not started,CREATE (Actions%20(CRUD)/CREATE%202b8c5dcbed45809f879fc56e812e058e.html),USER (Actors/USER%202b8c5dcbed45808a9a45e5859d001313.html)
"I must be able to specify permitted scopes of a routine [program,host,request] on creation",,"Routine management (Soft%20Modules%20(categories)/Routine%20management%202b3c5dcbed45805899b2eee42b8b719f.html), Routine Management Generic Details (Soft%20Modules%20(categories)/Routine%20Management%20Generic%20Details%202b7c5dcbed4580e6a68ef411675ee6ed.html)",Not started,CREATE (Actions%20(CRUD)/CREATE%202b8c5dcbed45809f879fc56e812e058e.html),USER (Actors/USER%202b8c5dcbed45808a9a45e5859d001313.html)
"I must be able to select a specific target, a [program,host,request], when creating a routine run",,"Routine management (Soft%20Modules%20(categories)/Routine%20management%202b3c5dcbed45805899b2eee42b8b719f.html), Routine Management Generic Details (Soft%20Modules%20(categories)/Routine%20Management%20Generic%20Details%202b7c5dcbed4580e6a68ef411675ee6ed.html)",Not started,CREATE (Actions%20(CRUD)/CREATE%202b8c5dcbed45809f879fc56e812e058e.html),USER (Actors/USER%202b8c5dcbed45808a9a45e5859d001313.html)
I must be able create force-run routine run,,"Routine management (Soft%20Modules%20(categories)/Routine%20management%202b3c5dcbed45805899b2eee42b8b719f.html), Routine Management Generic Details (Soft%20Modules%20(categories)/Routine%20Management%20Generic%20Details%202b7c5dcbed4580e6a68ef411675ee6ed.html)",Not started,CREATE (Actions%20(CRUD)/CREATE%202b8c5dcbed45809f879fc56e812e058e.html),USER (Actors/USER%202b8c5dcbed45808a9a45e5859d001313.html)
I must be able to create queued routine run,,"Routine management (Soft%20Modules%20(categories)/Routine%20management%202b3c5dcbed45805899b2eee42b8b719f.html), Routine Management Generic Details (Soft%20Modules%20(categories)/Routine%20Management%20Generic%20Details%202b7c5dcbed4580e6a68ef411675ee6ed.html)",Not started,CREATE (Actions%20(CRUD)/CREATE%202b8c5dcbed45809f879fc56e812e058e.html),USER (Actors/USER%202b8c5dcbed45808a9a45e5859d001313.html)
I must be able to create scheduled run of a routine at a specific time (using Quartz),,"Routine management (Soft%20Modules%20(categories)/Routine%20management%202b3c5dcbed45805899b2eee42b8b719f.html), Routine Management Generic Details (Soft%20Modules%20(categories)/Routine%20Management%20Generic%20Details%202b7c5dcbed4580e6a68ef411675ee6ed.html)",Not started,CREATE (Actions%20(CRUD)/CREATE%202b8c5dcbed45809f879fc56e812e058e.html),USER (Actors/USER%202b8c5dcbed45808a9a45e5859d001313.html)
I must be able to specify whether the comparator is standard or graphql or mixed,,Comparator Management (Soft%20Modules%20(categories)/Comparator%20Management%202b6c5dcbed458017b79bc6bee9f747bc.html),Not started,CREATE (Actions%20(CRUD)/CREATE%202b8c5dcbed45809f879fc56e812e058e.html),USER (Actors/USER%202b8c5dcbed45808a9a45e5859d001313.html)
I must be able to specify whether the host is graphql or standard,,Host Management (Soft%20Modules%20(categories)/Host%20Management%202b3c5dcbed45809daadedd8e5f6d8d39.html),Not started,CREATE (Actions%20(CRUD)/CREATE%202b8c5dcbed45809f879fc56e812e058e.html),USER (Actors/USER%202b8c5dcbed45808a9a45e5859d001313.html)
"I must be able to specify whether the routine overhead is high,medium or low",,"Routine management (Soft%20Modules%20(categories)/Routine%20management%202b3c5dcbed45805899b2eee42b8b719f.html), Routine Management Generic Details (Soft%20Modules%20(categories)/Routine%20Management%20Generic%20Details%202b7c5dcbed4580e6a68ef411675ee6ed.html)",Not started,CREATE (Actions%20(CRUD)/CREATE%202b8c5dcbed45809f879fc56e812e058e.html),USER (Actors/USER%202b8c5dcbed45808a9a45e5859d001313.html)
I must be able to set a rate limit for the program,,Program Management (Soft%20Modules%20(categories)/Program%20Management%202b3c5dcbed45800aa92dc7c28b30384e.html),Not started,CREATE (Actions%20(CRUD)/CREATE%202b8c5dcbed45809f879fc56e812e058e.html),USER (Actors/USER%202b8c5dcbed45808a9a45e5859d001313.html)
I must be able to set a rate limit for the host,,Host Management (Soft%20Modules%20(categories)/Host%20Management%202b3c5dcbed45809daadedd8e5f6d8d39.html),Not started,CREATE (Actions%20(CRUD)/CREATE%202b8c5dcbed45809f879fc56e812e058e.html),USER (Actors/USER%202b8c5dcbed45808a9a45e5859d001313.html)
I must be able to cancel a specific scheduled routine,,"Routine management (Soft%20Modules%20(categories)/Routine%20management%202b3c5dcbed45805899b2eee42b8b719f.html), Routine Management (scheduled) (Soft%20Modules%20(categories)/Routine%20Management%20(scheduled)%202b7c5dcbed458033a0b3d0c6f741ef4a.html)",Not started,UPDATE (Actions%20(CRUD)/UPDATE%202b8c5dcbed458031ba0eec76f1c8535a.html),USER (Actors/USER%202b8c5dcbed45808a9a45e5859d001313.html)
I must be able to pause a specific scheduled routine,,"Routine management (Soft%20Modules%20(categories)/Routine%20management%202b3c5dcbed45805899b2eee42b8b719f.html), Routine Management (scheduled) (Soft%20Modules%20(categories)/Routine%20Management%20(scheduled)%202b7c5dcbed458033a0b3d0c6f741ef4a.html)",Not started,UPDATE (Actions%20(CRUD)/UPDATE%202b8c5dcbed458031ba0eec76f1c8535a.html),USER (Actors/USER%202b8c5dcbed45808a9a45e5859d001313.html)
System must run routines with respect to the program and host rate limits,,"Routine management (Soft%20Modules%20(categories)/Routine%20management%202b3c5dcbed45805899b2eee42b8b719f.html), Routine Management (running) (Soft%20Modules%20(categories)/Routine%20Management%20(running)%202b7c5dcbed4580d6a2cbc67fbe37d26b.html)",Not started,,SYSTEM (Actors/SYSTEM%202b8c5dcbed458042acb0eff48ebd680a.html)
I must be able to delete a request,,Request Management (Soft%20Modules%20(categories)/Request%20Management%202b3c5dcbed45801b8cbaf5a5c38f1b92.html),Not started,DELETE (Actions%20(CRUD)/DELETE%202b8c5dcbed4580c88788c1d87472c430.html),USER (Actors/USER%202b8c5dcbed45808a9a45e5859d001313.html)
I must be able to cancel all scheduled routines based on a specific criteria ( program or host or request),,"Routine management (Soft%20Modules%20(categories)/Routine%20management%202b3c5dcbed45805899b2eee42b8b719f.html), Routine Management (scheduled) (Soft%20Modules%20(categories)/Routine%20Management%20(scheduled)%202b7c5dcbed458033a0b3d0c6f741ef4a.html)",Not started,UPDATE (Actions%20(CRUD)/UPDATE%202b8c5dcbed458031ba0eec76f1c8535a.html),USER (Actors/USER%202b8c5dcbed45808a9a45e5859d001313.html)
I must be able to pause all scheduled routines based on a specific criteria ( program or host or request),,"Routine management (Soft%20Modules%20(categories)/Routine%20management%202b3c5dcbed45805899b2eee42b8b719f.html), Routine Management (scheduled) (Soft%20Modules%20(categories)/Routine%20Management%20(scheduled)%202b7c5dcbed458033a0b3d0c6f741ef4a.html)",Not started,UPDATE (Actions%20(CRUD)/UPDATE%202b8c5dcbed458031ba0eec76f1c8535a.html),USER (Actors/USER%202b8c5dcbed45808a9a45e5859d001313.html)
